journal	created	deposited	published.online	doi	indexed	issn	issue	issued	member	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	short.container.title	published.print	language	page	update.policy	archive	subtitle	archive_	na.	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis
Journal of Physical Education	2018-05-15	2018-05-15	2018	10.4025/jphyseduc.v29i1.2936	2023-03-27	2448-2455	1	2018	2451	10.4025	Universidade Estadual de Maringa	1	Crossref	0	0	3	Public Health, Environmental and Occupational Health,Education	CONTROLE POSTURAL DE ATLETAS COM DIFERENTES GRAUS DE  DEFICIÊNCIA VISUAL	journal-article	http://dx.doi.org/10.4025/jphyseduc.v29i1.2936	29	J Phys Educ	NA	NA	NA	NA	NA	NA	NA	NA	Claudemir do Nascimento Santos, Thiago Lemos de Carvalho, Lilian Ramiro Felício, Míriam Raquel  Meira Mainenti, Patrícia dos Santos Vigário	2018	3	TRUE	0.7	0.165	B1
Journal of the Brazilian Chemical Society	2014-05-14	2017-04-13	NA	10.5935/0103-5053.20140100	2022-03-31	0103-5053	NA	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	2	General Chemistry	Degradation of Phenylethylamine and Tyramine by Gamma Radiation Process and Docking Studies of its Radiolytes	journal-article	http://dx.doi.org/10.5935/0103-5053.20140100	NA	NA	2014	en	NA	NA	NA	NA	NA	NA	Monique Cardozo, Stefânia Priscila de Souza, Keila dos Santos Cople Lima, Aline Alves Oliveira, Cláudia Moraes Rezende, Tanos Celmar Costa França, Antonio Luis dos Santos Lima	2014	2	TRUE	3.8	0.316	A2
Revista PAGMAR (Online)	2015-12-11	2016-10-31	NA	10.4322/pagmar.2446-4791.2015.010	2022-04-03	2446-4791	4	2016	2869	10.4322	Editora Cubo	1	Crossref	0	0	0	General Medicine	Demografia e Estabilidade Ambiental	journal-article	http://dx.doi.org/10.4322/pagmar.2446-4791.2015.010	4	PAGMAR	2016	NA	82-84	NA	NA	NA	NA	NA	Reis Friede	2016	0	TRUE	NA	NA	B3
Ciência e Agrotecnologia	2016-02-20	2020-09-15	NA	10.1590/s1413-70542016000100006	2022-12-31	1413-7054	1	2016-02	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	25	25	4	Soil Science,General Veterinary,Agronomy and Crop Science,Animal Science and Zoology,Food Science	Development of a water recirculating system for bullfrog production: technological innovation for small farmers	journal-article	http://dx.doi.org/10.1590/s1413-70542016000100006	40	Ciênc. agrotec.	2016-02	NA	67-75	NA	NA	NA	NA	NA	Sílvia Conceição Reis Pereira Mello, Roberto Rodrigues de Oliveira, Marcelo Maia Pereira, Eliane Rodrigues, Willian Nascimento Silva, José Teixeira de Seixas Filho	2016	4	TRUE	2.5	0.34	A2
Semioses	2017-10-31	2017-10-31	2017-10-27	10.15202/1981996x.2017v11n2p17	2022-12-31	1981-996X	2	2017-10-27	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	1	General Medicine	DIAGNÓSTICO DO PRODUTOR FAMILIAR: DESENVOLVIMENTO LOCAL PELO ASSOCIATIVISMO EM RANICULTURA NO MUNICÍPIO DE ITAGUAÍ NO ESTADO DO RIO DE JANEIRO	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n2p17	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	Adian de Paula Francisco Almeida, Félix Gargia Lopez, José Teixeira de Seixas Filho	2017	1	FALSE	NA	NA	B3
Semioses	2017-12-20	2017-12-20	2017-12-20	10.15202/1981996x.2017v11n3p77	2022-04-05	1981-996X	3	2017-12-20	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	DISTRIBUIÇÃO FÍSICA DE GENES NO CROMOSSOMO COMO MÉTODO DE DIAGNÓSTICO	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n3p77	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hugo Ribeiro, Daniela Ornellas, Iraci Leal, Zenildo Buarque de Moarais Filho, Silvana Daflon Castricini, Katia Eliane Santos Avelar, Rachel Santos de Menezes	2017	0	TRUE	NA	NA	B3
Semioses	2018-09-28	2019-09-12	2018-09-28	10.15202/1981996x.2018v12n3p93	2022-03-29	1981-996X	3	2018-09-28	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	DOENÇA DE CUSHING POR MACROADENOMA: RELATO DE CASO	journal-article	http://dx.doi.org/10.15202/1981996x.2018v12n3p93	12	Semioses	NA	NA	93-102	NA	NA	NA	NA	NA	Dara Galo Marques Salomé, Nathalia Gomes Da Silva, Marco Orsini, Eduardo Tavares Lima Trajano, Patricia Maria Dusek, José Teixeira De Seixas Filho	2018	0	TRUE	NA	NA	B3
Asian Journal of Sports Medicine	2018-03-11	2023-01-15	2018-03-11	10.5812/asjsm.63946	2023-01-16	2008-000X,2008-7209	1	2018-03-11	3819	10.5812	Briefland	1	Crossref	43	43	3	Orthopedics and Sports Medicine	Does the Kinesio Tape Provide more Knee Extensor Torque?	journal-article	http://dx.doi.org/10.5812/asjsm.63946	9	Asian J Sports Med	NA	NA	NA	http://dx.doi.org/10.5555/crossmark_policy	NA	NA	NA	NA	Mauricio dos Santos Soares, Agnaldo Jose Lopes, Patricia dos Santos Vigario, Marcio Puglia Souza, Helcio Figueiredo da Costa, Lilian Ramiro Felicio	2018	3	TRUE	1.0	0.183	B1
Materials Science Forum	2016-08-31	2021-01-12	2016-08	10.4028/www.scientific.net/msf.869.203	2022-04-04	1662-9752	NA	2016-08	2457	10.4028	Trans Tech Publications, Ltd.	1	Crossref	0	0	1	Mechanical Engineering,Mechanics of Materials,Condensed Matter Physics,General Materials Science	Dynamic-Mechanical Performance of Sponge Gourd Fiber Reinforced Polyester Composites	journal-article	http://dx.doi.org/10.4028/www.scientific.net/msf.869.203	869	MSF	NA	NA	203-208	NA	NA	NA	NA	NA	Verônica Scarpini Cândido, Michel Picanço Oliveira, Sergio Neves Monteiro	2016	1	FALSE	1.0	0.185	B3
Semioses	2017-12-28	2017-12-28	2017-12-26	10.15202/1981996x.2017v11n4p8	2022-04-04	1981-996X	4	2017-12-26	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	0	General Medicine	EDUCAÇÃO AMBIENTAL E INTERDISCIPLINARIDADE SABERES PRÁTICOS E TEÓRICOS NO PROCESSO DE ENSINO-APRENDIZAGEM	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n4p8	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alexandre De Jesus Pereira, Reis Friede, Fábio Narduchi, Maria Geralda de Miranda	2017	0	TRUE	NA	NA	B3
